canonical_key,name_ko,district,merged_line_count,merged_lines,station_codes,coord_spread_m,name_variants,official_transfer_flag,transfer_line_match,operator_differs,ja_missing,zh_missing,decision,needs_review,review_reason
불암산,불암산,11350 노원구,1,4호선,0409,0,불암산,N,n/a,false,false,false,single,false,
사가정,사가정,11260 중랑구,1,7호선,0722,0,사가정,N,n/a,false,false,false,single,false,
사평,사평,11650 서초구,1,서울 도시철도 9호선,4124,0,사평,N,n/a,false,true,true,single,false,
삼성,삼성,11680 강남구,1,2호선,0219,0,삼성 | 삼성(무역센터) | 무역센터,N,n/a,false,false,false,single,false,
삼성중앙,삼성중앙,11680 강남구,1,수도권  도시철도 9호선,4128,0,삼성중앙,N,n/a,false,false,false,single,false,
삼양,삼양,11305 강북구,1,우이신설선,S115,0,삼양,N,n/a,false,true,true,single,false,
삼양사거리,삼양사거리,11305 강북구,1,우이신설선,S116,0,삼양사거리,N,n/a,false,true,true,single,false,
삼전,삼전,11710 송파구,1,수도권  도시철도 9호선,4131,0,삼전,N,n/a,false,false,false,single,false,
상계,상계,11350 노원구,1,4호선,0410,0,상계,N,n/a,false,false,false,single,false,
상도,상도,11590 동작구,1,7호선,0739,0,상도,N,n/a,false,false,false,single,false,
상수,상수,11440 마포구,1,6호선,0623,0,상수,N,n/a,false,false,false,single,false,
상왕십리,상왕십리,11200 성동구,1,2호선,0207,0,상왕십리,N,n/a,false,false,false,single,false,
상월곡,상월곡,11290 성북구,1,6호선,0642,0,상월곡 | 상월곡(한국과학기술연구원) | 한국과학기술연구원,N,n/a,false,false,false,single,false,
상일동,상일동,11740 강동구,1,5호선,0553,0,상일동,N,n/a,false,false,false,single,false,
새절,새절,11380 은평구,1,6호선,0616,0,새절 | 새절(신사) | 신사,N,n/a,false,false,false,single,false,
서강대,서강대역,11440 마포구,1,경의중앙선,1263,0,서강대역,N,n/a,false,true,true,single,false,
서대문,서대문,11410 서대문구,1,5호선,0532,0,서대문,N,n/a,false,false,false,single,false,
서빙고,서빙고역,11170 용산구,1,경원선,1009,0,서빙고역,N,n/a,false,true,true,single,false,
서울대벤처타운,서울대벤처타운,11620 관악구,1,수도권 경량도시철도 신림선,S410,0,서울대벤처타운,N,n/a,false,true,true,single,false,
서울대입구,서울대입구,11620 관악구,1,2호선,0228,0,서울대입구 | 서울대입구(관악구청) | 관악구청,N,n/a,false,false,false,single,false,
서울숲,서울숲역,11200 성동구,1,분당선,1847,0,서울숲역,N,n/a,false,true,true,single,false,
서울지방병무청,서울지방병무청,11590 동작구,1,수도권 경량도시철도 신림선,S403,0,서울지방병무청,N,n/a,false,true,true,single,false,
